iter	Passed	Remaining
470	669	752
471	670	750
472	671	748
473	672	746
474	673	744
475	674	742
476	675	740
477	675	738
478	677	736
479	678	734
480	678	732
481	679	730
482	680	728
483	681	726
484	682	724
485	683	722
486	684	720
487	685	718
488	686	717
489	687	715
490	687	713
491	688	711
492	689	709
493	690	707
494	691	705
495	692	704
496	693	702
497	694	700
498	695	698
499	696	696
500	697	694
501	698	693
502	699	691
503	700	689
504	701	687
505	702	685
506	703	683
507	703	681
508	704	679
509	705	678
510	706	676
511	707	674
512	708	672
513	709	671
514	710	669
515	711	667
516	712	665
517	713	663
518	714	662
519	715	660
520	716	658
521	717	656
522	717	654
523	718	653
524	719	651
525	720	649
526	722	648
527	723	646
528	724	644
529	725	643
530	726	641
531	727	640
532	728	638
533	729	636
534	730	634
535	731	633
536	732	631
537	733	629
538	734	627
539	735	626
540	736	624
541	737	623
542	738	621
543	739	620
544	740	618
545	741	616
546	742	614
547	743	613
548	744	611
549	745	609
550	746	608
551	747	607
552	749	605
553	750	604
554	751	602
555	752	600
556	753	599
557	754	597
558	755	596
559	756	594
560	757	592
561	758	591
562	759	589
563	760	587
564	761	586
565	762	584
566	763	582
567	764	581
568	765	579
569	766	577
570	767	576
571	768	574
572	769	573
573	770	571
574	771	569
575	771	568
576	772	566
577	773	564
578	774	563
579	775	561
580	776	559
581	777	558
582	778	556
583	778	554
584	779	553
585	780	551
586	781	549
587	782	548
588	783	546
589	784	545
590	785	543
591	786	542
592	787	540
593	788	538
594	789	537
595	789	535
596	790	533
597	791	532
598	792	530
599	793	528
600	794	527
601	795	525
602	795	523
603	797	522
604	798	521
605	798	519
606	799	517
607	800	516
608	801	514
609	802	513
610	803	511
611	804	509
612	805	508
613	806	506
614	807	505
615	808	503
616	809	502
617	810	500
618	810	499
619	812	497
620	813	496
621	814	494
622	815	493
623	816	491
624	817	490
625	818	488
626	819	487
627	820	485
628	820	484
629	821	482
630	822	481
631	823	479
632	824	477
633	825	476
634	826	474
635	827	473
636	828	472
637	829	470
638	830	469
639	831	467
640	832	466
641	832	464
642	833	462
643	834	461
644	835	459
645	836	458
646	837	456
647	838	455
648	838	453
649	839	452
650	840	450
651	841	449
652	842	447
653	843	446
654	844	444
655	845	443
656	846	442
657	847	440
658	848	439
659	849	437
660	850	436
661	851	434
662	852	433
663	853	431
664	853	430
665	854	428
666	855	427
667	857	425
668	858	424
669	859	423
670	859	421
671	860	420
672	861	418
673	862	417
674	863	415
675	864	414
676	865	412
677	866	411
678	867	410
679	868	408
680	869	407
681	870	405
682	871	404
683	872	402
684	873	401
685	874	400
686	875	398
687	876	397
688	877	395
689	878	394
690	879	393
691	880	391
692	881	390
693	882	388
694	883	387
695	883	386
696	884	384
697	885	383
698	887	381
699	888	380
700	889	379
701	890	377
702	891	376
703	892	375
704	892	373
705	893	372
706	894	370
707	895	369
708	896	367
709	897	366
710	898	365
711	899	363
712	899	362
713	900	360
714	901	359
715	902	358
716	904	356
717	905	355
718	906	354
719	907	352
720	908	351
721	909	350
722	910	348
723	911	347
724	912	346
725	913	344
726	914	343
727	915	341
728	916	340
729	917	339
730	918	337
731	919	336
732	920	335
733	921	333
734	922	332
735	922	331
736	923	329
737	924	328
738	925	326
739	926	325
740	927	324
741	927	322
742	928	321
743	929	319
744	930	318
745	931	317
746	932	315
747	933	314
748	934	313
749	935	311
750	936	310
751	937	309
752	938	307
753	939	306
754	939	305
755	940	303
756	941	302
757	942	300
758	943	299
759	944	298
760	945	296
761	946	295
762	947	294
763	948	292
764	949	291
765	950	290
766	951	289
767	952	287
768	953	286
769	953	284
770	954	283
771	955	282
772	956	280
773	957	279
774	958	278
775	959	276
776	959	275
777	960	274
778	961	272
779	962	271
780	963	270
781	964	268
782	965	267
783	966	266
784	967	264
785	968	263
786	969	262
787	970	261
788	971	259
789	972	258
790	972	257
791	973	255
792	974	254
793	975	253
794	976	251
795	977	250
796	978	249
797	979	247
798	980	246
799	981	245
800	982	244
801	983	242
802	983	241
803	984	240
804	985	238
805	986	237
806	987	236
807	988	234
808	989	233
809	990	232
810	991	230
811	992	229
812	993	228
813	994	227
814	995	225
815	996	224
816	997	223
817	998	222
818	998	220
819	999	219
820	1000	218
821	1001	216
822	1002	215
823	1003	214
824	1003	212
825	1004	211
826	1005	210
827	1007	209
828	1008	207
829	1009	206
830	1010	205
831	1011	204
832	1012	202
833	1013	201
834	1013	200
835	1014	199
836	1015	197
837	1016	196
838	1017	195
839	1018	193
840	1019	192
841	1020	191
842	1020	190
843	1021	188
844	1022	187
845	1024	186
846	1024	185
847	1026	183
848	1026	182
849	1027	181
850	1028	180
851	1029	178
852	1030	177
853	1031	176
854	1032	175
855	1033	173
856	1034	172
857	1034	171
858	1035	170
859	1037	168
860	1038	167
861	1039	166
862	1040	165
863	1040	163
864	1041	162
865	1042	161
866	1043	160
867	1044	158
868	1045	157
869	1046	156
870	1047	155
871	1047	153
872	1048	152
873	1049	151
874	1050	150
875	1051	148
876	1052	147
877	1053	146
878	1054	145
879	1055	143
880	1056	142
881	1057	141
882	1058	140
883	1059	138
884	1060	137
885	1060	136
886	1061	135
887	1062	134
888	1063	132
889	1064	131
890	1065	130
891	1066	129
892	1067	127
893	1068	126
894	1069	125
895	1070	124
896	1071	122
897	1071	121
898	1072	120
899	1073	119
900	1074	118
901	1075	116
902	1076	115
903	1077	114
904	1077	113
905	1078	111
906	1079	110
907	1080	109
908	1081	108
909	1082	107
910	1083	105
911	1084	104
912	1085	103
913	1086	102
914	1087	101
915	1088	99
916	1089	98
917	1090	97
918	1091	96
919	1092	94
920	1093	93
921	1094	92
922	1095	91
923	1095	90
924	1097	88
925	1098	87
926	1098	86
927	1099	85
928	1100	84
929	1101	82
930	1102	81
931	1104	80
932	1105	79
933	1106	78
934	1106	76
935	1107	75
936	1108	74
937	1109	73
938	1110	72
939	1111	70
940	1112	69
941	1113	68
942	1115	67
943	1116	66
944	1116	65
945	1118	63
946	1118	62
947	1119	61
948	1120	60
949	1121	59
950	1122	57
951	1123	56
952	1124	55
953	1124	54
954	1125	53
955	1126	51
956	1127	50
957	1129	49
958	1130	48
959	1130	47
960	1131	45
961	1132	44
962	1133	43
963	1134	42
964	1135	41
965	1136	39
966	1137	38
967	1138	37
968	1138	36
969	1139	35
970	1140	34
971	1141	32
972	1143	31
973	1144	30
974	1145	29
975	1146	28
976	1147	27
977	1148	25
978	1149	24
979	1150	23
980	1151	22
981	1152	21
982	1153	19
983	1154	18
984	1155	17
985	1156	16
986	1157	15
987	1158	14
988	1159	12
989	1160	11
990	1161	10
991	1162	9
992	1163	8
993	1164	7
994	1164	5
995	1165	4
996	1166	3
997	1167	2
998	1168	1
999	1169	0
